New best reward: Current date: 11-14 15:50:32 Episode: 0, Reward: 15.00, Epsilon: 1.00
New best reward: Current date: 11-14 15:50:32 Episode: 1, Reward: 48.00, Epsilon: 1.00
New best reward: Current date: 11-14 15:50:32 Episode: 11, Reward: 49.00, Epsilon: 0.99
New best reward: Current date: 11-14 15:50:32 Episode: 81, Reward: 56.00, Epsilon: 0.96
New best reward: Current date: 11-14 15:50:32 Episode: 195, Reward: 59.00, Epsilon: 0.91
New best reward: Current date: 11-14 15:50:33 Episode: 384, Reward: 71.00, Epsilon: 0.82
New best reward: Current date: 11-14 15:50:35 Episode: 1550, Reward: 77.00, Epsilon: 0.46
New best reward: Current date: 11-14 15:50:35 Episode: 1552, Reward: 85.00, Epsilon: 0.46
New best reward: Current date: 11-14 15:50:35 Episode: 1553, Reward: 106.00, Epsilon: 0.46
New best reward: Current date: 11-14 15:50:37 Episode: 2849, Reward: 110.00, Epsilon: 0.24
New best reward: Current date: 11-14 15:50:37 Episode: 2868, Reward: 115.00, Epsilon: 0.24
New best reward: Current date: 11-14 15:50:37 Episode: 2892, Reward: 129.00, Epsilon: 0.24
New best reward: Current date: 11-14 15:50:38 Episode: 2942, Reward: 144.00, Epsilon: 0.23
New best reward: Current date: 11-14 15:50:38 Episode: 3159, Reward: 159.00, Epsilon: 0.21
New best reward: Current date: 11-14 15:50:45 Episode: 5821, Reward: 164.00, Epsilon: 0.05
New best reward: Current date: 11-14 15:50:46 Episode: 5891, Reward: 409.00, Epsilon: 0.05
New best reward: Current date: 11-14 15:50:47 Episode: 6248, Reward: 425.00, Epsilon: 0.05
New best reward: Current date: 11-14 15:50:48 Episode: 6283, Reward: 628.00, Epsilon: 0.05
New best reward: Current date: 11-14 15:50:48 Episode: 6301, Reward: 792.00, Epsilon: 0.05
New best reward: Current date: 11-14 15:50:48 Episode: 6363, Reward: 848.00, Epsilon: 0.05
New best reward: Current date: 11-14 15:50:50 Episode: 6552, Reward: 1075.00, Epsilon: 0.05
New best reward: Current date: 11-14 15:52:49 Episode: 20326, Reward: 1296.00, Epsilon: 0.05
New best reward: Current date: 11-14 15:53:09 Episode: 21547, Reward: 1603.00, Epsilon: 0.05
New best reward: Current date: 11-14 15:53:24 Episode: 22155, Reward: 1732.00, Epsilon: 0.05
New best reward: Current date: 11-14 15:53:27 Episode: 22272, Reward: 1792.00, Epsilon: 0.05
New best reward: Current date: 11-14 15:54:17 Episode: 30330, Reward: 2811.00, Epsilon: 0.05
New best reward: Current date: 11-14 15:54:55 Episode: 32887, Reward: 5423.00, Epsilon: 0.05
New best reward: Current date: 11-14 15:54:57 Episode: 32908, Reward: 6962.00, Epsilon: 0.05
New best reward: Current date: 11-14 15:55:07 Episode: 33141, Reward: 8641.00, Epsilon: 0.05
New best reward: Current date: 11-14 15:55:09 Episode: 33158, Reward: 25559.00, Epsilon: 0.05
New best reward: Current date: 11-14 15:55:24 Episode: 33402, Reward: 27694.00, Epsilon: 0.05
New best reward: Current date: 11-14 15:55:31 Episode: 33516, Reward: 31909.00, Epsilon: 0.05
New best reward: Current date: 11-14 15:55:34 Episode: 33517, Reward: 71175.00, Epsilon: 0.05
New best reward: Current date: 11-14 15:55:56 Episode: 33678, Reward: 91415.00, Epsilon: 0.05
New best reward: Current date: 11-14 15:56:28 Episode: 33850, Reward: 100000.00, Epsilon: 0.05
